Users of this data file should acknowledge the National Park Service.
NOTE: There are two parts to this file. Part I contains information on the sites selected.
Part II contains the actual data and begins on line 12.

Part I - Site Information
ABBR,AIRS_SITE_CODE,TIME_ZONE,LONG_DEC,LAT_DEC,ELEV_mMSL,SITE_NAME
JOTR-BR,06-071-9002,PST,116.3906,34.0714,1244,Joshua Tree National Park - Black Rock
LAVO-ML,06-089-3003,PST,121.5764,40.5403,1756,Lassen Volcanic National Park - Manzanita Lake Fire Stn.
PINN-ES,06-069-0003,PST,121.1556,36.4850,335,Pinnacles National Park - SW of East Entrance Stn.
SEKI-LK,06-107-0006,PST,118.7772,36.5658,1890,Sequoia and Kings Canyon National Parks - Lower Kaweah

Part II - Data
ABBR,PAR,DATE,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23,
JOTR-BR,O3_PPB,1/1/2010 12:00:00 AM,46,46,46,46,45,44,44,44,46,48,48,49,49,50,49,48,44,42,43,43,42,42,41,41,
JOTR-BR,O3_PPB,1/2/2010 12:00:00 AM,42,43,43,43,44,44,46,47,48,48,48,48,49,49,50,49,45,45,46,47,48,48,48,47,
JOTR-BR,O3_PPB,1/3/2010 12:00:00 AM,47,46,46,46,45,44,44,44,44,45,46,46,47,48,47,50,48,46,44,47,47,47,48,48,
JOTR-BR,O3_PPB,1/4/2010 12:00:00 AM,47,47,47,46,46,46,45,44,47,47,48,48,47,48,47,49,47,42,44,45,44,46,46,46,
JOTR-BR,O3_PPB,1/5/2010 12:00:00 AM,45,46,47,48,47,46,44,45,-999,-999,52,51,51,51,51,50,48,45,46,46,46,47,45,42,
JOTR-BR,O3_PPB,1/6/2010 12:00:00 AM,42,43,45,43,44,44,44,45,45,46,47,47,47,47,47,46,45,43,41,42,41,40,39,40,
JOTR-BR,O3_PPB,1/7/2010 12:00:00 AM,42,42,42,42,43,43,42,42,43,44,44,45,46,45,45,45,44,42,40,41,40,40,40,41,
JOTR-BR,O3_PPB,1/8/2010 12:00:00 AM,41,39,38,37,37,37,36,36,36,38,40,42,43,45,45,44,42,39,38,39,41,41,42,42,
JOTR-BR,O3_PPB,1/9/2010 12:00:00 AM,41,42,41,40,40,40,40,40,44,45,45,46,47,49,49,48,47,44,46,46,47,46,45,45,
JOTR-BR,O3_PPB,1/10/2010 12:00:00 AM,44,42,44,45,45,45,44,45,45,45,46,46,47,48,49,48,47,46,44,44,44,44,44,44,
JOTR-BR,O3_PPB,1/11/2010 12:00:00 AM,43,41,40,41,41,41,42,41,42,43,44,45,46,48,49,50,46,43,43,43,44,45,45,46,
JOTR-BR,O3_PPB,1/12/2010 12:00:00 AM,47,47,47,47,47,48,48,49,-999,48,49,50,51,52,52,51,51,51,50,48,50,51,51,51,
JOTR-BR,O3_PPB,1/13/2010 12:00:00 AM,51,48,47,49,50,48,48,47,42,43,44,43,45,47,46,48,49,52,51,50,49,49,49,49,
JOTR-BR,O3_PPB,1/14/2010 12:00:00 AM,48,48,48,48,49,49,48,48,48,48,48,48,49,49,49,49,48,47,46,45,45,44,44,45,
JOTR-BR,O3_PPB,1/15/2010 12:00:00 AM,45,45,46,47,47,48,46,46,47,48,48,49,50,51,49,49,46,41,42,45,47,47,47,47,
JOTR-BR,O3_PPB,1/16/2010 12:00:00 AM,47,47,47,48,47,46,47,47,48,49,48,49,50,51,51,51,51,52,48,42,34,38,42,45,
JOTR-BR,O3_PPB,1/17/2010 12:00:00 AM,43,41,43,43,43,43,43,43,43,44,47,53,55,54,53,53,53,51,50,49,50,48,47,46,
JOTR-BR,O3_PPB,1/18/2010 12:00:00 AM,47,48,46,45,44,45,43,42,40,39,41,43,44,43,43,43,42,46,45,45,46,46,45,47,
JOTR-BR,O3_PPB,1/19/2010 12:00:00 AM,46,45,49,47,49,49,45,45,47,45,43,42,43,43,43,41,40,45,45,43,45,44,46,46,
JOTR-BR,O3_PPB,1/20/2010 12:00:00 AM,46,46,46,47,47,48,48,48,45,45,46,46,46,46,48,47,47,47,47,46,45,44,44,43,
JOTR-BR,O3_PPB,1/21/2010 12:00:00 AM,42,43,47,47,44,43,42,40,37,43,41,40,41,41,43,50,51,49,50,51,50,51,50,50,
JOTR-BR,O3_PPB,1/22/2010 12:00:00 AM,50,50,50,49,50,50,49,49,48,49,48,49,49,49,48,48,48,48,48,48,48,47,47,47,
