Users of this data file should acknowledge the National Park Service.
NOTE: There are two parts to this file. Part I contains information on the sites selected.
Part II contains the actual data and begins on line 12.

Part I - Site Information
ABBR,AIRS_SITE_CODE,TIME_ZONE,LONG_DEC,LAT_DEC,ELEV_mMSL,SITE_NAME
JOTR-BR,06-071-9002,PST,116.3906,34.0714,1244,Joshua Tree National Park - Black Rock
LAVO-ML,06-089-3003,PST,121.5764,40.5403,1756,Lassen Volcanic National Park - Manzanita Lake Fire Stn.
PINN-ES,06-069-0003,PST,121.1556,36.4850,335,Pinnacles National Park - SW of East Entrance Stn.
SEKI-LK,06-107-0006,PST,118.7772,36.5658,1890,Sequoia and Kings Canyon National Parks - Lower Kaweah

Part II - Data
ABBR,PAR,DATE,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23,
JOTR-BR,O3_PPB,1/1/1995 12:00:00 AM,30,27,33,34,24,-999,22,23,35,38,39,40,40,40,40,40,38,32,31,30,26,28,30,30,
JOTR-BR,O3_PPB,1/2/1995 12:00:00 AM,31,30,30,29,29,-999,32,30,36,39,39,40,42,43,43,40,34,30,31,40,39,38,41,41,
JOTR-BR,O3_PPB,1/3/1995 12:00:00 AM,40,40,40,43,-999,-999,42,40,40,39,40,41,44,43,42,39,39,39,31,34,29,29,29,30,
JOTR-BR,O3_PPB,1/4/1995 12:00:00 AM,30,32,38,40,37,-999,40,39,37,35,-999,-999,35,33,35,38,39,39,37,36,35,34,36,38,
JOTR-BR,O3_PPB,1/5/1995 12:00:00 AM,36,37,37,40,41,-999,41,40,39,39,40,40,41,42,41,39,38,37,36,35,34,33,32,31,
JOTR-BR,O3_PPB,1/6/1995 12:00:00 AM,29,32,28,28,31,-999,33,30,36,40,41,42,44,44,44,44,42,39,39,39,38,37,37,41,
JOTR-BR,O3_PPB,1/7/1995 12:00:00 AM,44,42,40,40,40,-999,37,36,37,38,39,40,38,37,36,34,32,30,30,33,34,36,38,38,
JOTR-BR,O3_PPB,1/8/1995 12:00:00 AM,37,36,36,35,34,-999,32,32,32,32,32,31,29,31,29,28,28,28,27,26,26,25,25,25,
JOTR-BR,O3_PPB,1/9/1995 12:00:00 AM,25,25,25,25,25,-999,26,27,26,27,28,28,29,29,29,29,28,28,28,27,26,25,28,28,
JOTR-BR,O3_PPB,1/10/1995 12:00:00 AM,28,29,28,28,-999,-999,28,28,28,29,30,32,34,36,37,33,32,32,34,33,29,33,34,33,
JOTR-BR,O3_PPB,1/11/1995 12:00:00 AM,33,32,36,37,36,-999,38,36,34,33,35,34,38,36,-999,35,38,39,39,39,37,36,35,34,
JOTR-BR,O3_PPB,1/12/1995 12:00:00 AM,35,36,32,35,36,-999,37,36,37,35,33,33,33,32,34,34,34,33,34,35,32,32,33,26,
JOTR-BR,O3_PPB,1/13/1995 12:00:00 AM,24,22,21,24,23,-999,18,20,23,26,31,34,36,37,38,35,30,21,22,21,24,24,23,23,
JOTR-BR,O3_PPB,1/14/1995 12:00:00 AM,24,23,22,22,23,-999,21,23,28,40,40,40,41,36,30,27,28,23,22,21,20,20,22,23,
JOTR-BR,O3_PPB,1/15/1995 12:00:00 AM,24,29,33,34,39,-999,43,43,44,44,44,45,44,45,44,44,42,42,41,40,38,36,35,34,
JOTR-BR,O3_PPB,1/16/1995 12:00:00 AM,33,33,34,35,37,-999,36,36,37,38,38,39,40,41,40,40,38,36,35,37,34,32,31,25,
JOTR-BR,O3_PPB,1/17/1995 12:00:00 AM,23,25,28,35,-999,-999,36,36,39,40,41,42,43,43,44,44,40,34,34,33,32,32,30,30,
JOTR-BR,O3_PPB,1/18/1995 12:00:00 AM,30,29,30,31,29,-999,30,32,39,-999,41,41,43,44,43,43,39,32,32,35,33,31,33,35,
JOTR-BR,O3_PPB,1/19/1995 12:00:00 AM,36,34,33,33,34,-999,34,35,38,40,41,42,44,45,45,45,40,36,34,34,34,35,33,31,
JOTR-BR,O3_PPB,1/20/1995 12:00:00 AM,29,30,31,31,34,-999,38,38,41,41,43,45,46,45,45,43,41,40,43,46,47,46,41,44,
JOTR-BR,O3_PPB,1/21/1995 12:00:00 AM,45,43,33,29,36,-999,35,34,38,40,42,43,45,47,47,48,45,36,26,34,29,26,23,23,
JOTR-BR,O3_PPB,1/22/1995 12:00:00 AM,23,26,22,23,29,-999,33,31,43,46,46,47,47,48,48,46,45,45,45,46,46,45,44,44,
JOTR-BR,O3_PPB,1/23/1995 12:00:00 AM,44,44,45,46,46,-999,44,45,45,45,46,46,45,45,43,39,39,42,43,43,42,43,45,43,
JOTR-BR,O3_PPB,1/24/1995 12:00:00 AM,43,42,39,44,-999,-999,40,38,38,37,38,-999,38,39,39,43,44,44,43,44,44,41,42,40,
JOTR-BR,O3_PPB,1/25/1995 12:00:00 AM,40,39,40,39,39,-999,39,38,40,41,40,42,41,41,41,40,42,43,44,44,43,41,40,39,
JOTR-BR,O3_PPB,1/26/1995 12:00:00 AM,39,38,36,39,40,-999,41,40,40,39,39,41,43,43,42,40,38,36,35,33,31,30,30,29,
JOTR-BR,O3_PPB,1/27/1995 12:00:00 AM,29,30,30,30,31,-999,26,25,33,36,36,36,37,39,40,37,38,34,28,33,34,33,32,30,
JOTR-BR,O3_PPB,1/28/1995 12:00:00 AM,31,28,27,25,26,-999,30,34,37,41,42,44,45,45,46,45,43,37,35,33,33,37,36,35,
JOTR-BR,O3_PPB,1/29/1995 12:00:00 AM,35,36,36,37,35,-999,36,35,38,40,41,41,42,43,44,45,42,34,31,34,36,35,35,35,
JOTR-BR,O3_PPB,1/30/1995 12:00:00 AM,36,32,34,35,33,-999,34,35,43,44,46,47,48,49,49,49,47,42,42,43,42,42,41,38,
JOTR-BR,O3_PPB,1/31/1995 12:00:00 AM,38,38,37,36,-999,-999,35,35,37,38,38,37,37,38,38,39,37,34,35,34,35,35,34,32,
JOTR-BR,O3_PPB,2/1/1995 12:00:00 AM,32,32,31,29,29,-999,30,31,32,31,32,34,36,37,37,38,36,32,31,31,33,32,32,31,
JOTR-BR,O3_PPB,2/2/1995 12:00:00 AM,30,29,28,27,27,-999,27,28,28,29,30,31,32,33,34,33,32,28,29,29,29,30,28,27,
JOTR-BR,O3_PPB,2/3/1995 12:00:00 AM,27,27,27,27,27,-999,29,29,36,38,40,42,43,44,45,45,42,34,35,36,37,37,36,36,
JOTR-BR,O3_PPB,2/4/1995 12:00:00 AM,36,36,36,36,39,-999,37,36,40,44,45,46,47,48,48,48,45,39,40,39,39,41,40,38,
