Users of this data file should acknowledge the National Park Service.
NOTE: There are two parts to this file. Part I contains information on the sites selected.
Part II contains the actual data and begins on line 12.

Part I - Site Information
ABBR,AIRS_SITE_CODE,TIME_ZONE,LONG_DEC,LAT_DEC,ELEV_mMSL,SITE_NAME
JOTR-BR,06-071-9002,PST,116.3906,34.0714,1244,Joshua Tree National Park - Black Rock
LAVO-ML,06-089-3003,PST,121.5764,40.5403,1756,Lassen Volcanic National Park - Manzanita Lake Fire Stn.
PINN-ES,06-069-0003,PST,121.1556,36.4850,335,Pinnacles National Park - SW of East Entrance Stn.
SEKI-LK,06-107-0006,PST,118.7772,36.5658,1890,Sequoia and Kings Canyon National Parks - Lower Kaweah

Part II - Data
ABBR,PAR,DATE,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23,
JOTR-BR,O3_PPB,1/1/2005 12:00:00 AM,38,39,-999,39,36,34,32,36,41,42,43,43,45,44,44,45,43,34,35,37,37,36,38,39,
JOTR-BR,O3_PPB,1/2/2005 12:00:00 AM,40,40,-999,40,40,41,39,38,41,43,43,43,42,43,44,42,40,38,37,38,38,40,39,39,
JOTR-BR,O3_PPB,1/3/2005 12:00:00 AM,39,38,-999,39,38,38,37,34,33,33,37,37,38,37,37,38,38,38,38,39,39,41,42,42,
JOTR-BR,O3_PPB,1/4/2005 12:00:00 AM,43,42,-999,36,35,39,33,31,31,-999,35,40,41,38,37,32,31,30,29,30,31,31,31,33,
JOTR-BR,O3_PPB,1/5/2005 12:00:00 AM,35,36,-999,37,36,37,37,37,37,39,39,41,41,41,40,40,37,33,31,33,33,30,27,26,
JOTR-BR,O3_PPB,1/6/2005 12:00:00 AM,24,25,-999,25,24,25,26,26,31,37,40,41,41,40,38,40,36,33,31,29,27,26,22,15,
JOTR-BR,O3_PPB,1/7/2005 12:00:00 AM,15,18,-999,42,43,43,40,37,37,38,40,39,42,41,40,43,42,42,43,43,41,40,39,37,
JOTR-BR,O3_PPB,1/8/2005 12:00:00 AM,36,37,-999,38,37,37,38,39,38,37,36,36,37,38,39,37,37,38,36,36,36,37,36,36,
JOTR-BR,O3_PPB,1/9/2005 12:00:00 AM,36,36,-999,33,33,32,32,31,31,31,32,31,31,30,31,30,31,31,32,35,35,33,32,35,
JOTR-BR,O3_PPB,1/10/2005 12:00:00 AM,37,37,-999,37,37,36,35,34,33,31,31,32,29,29,28,27,27,27,26,24,24,24,25,25,
JOTR-BR,O3_PPB,1/11/2005 12:00:00 AM,24,31,-999,26,30,29,33,33,37,42,47,46,43,-999,-999,42,41,41,40,39,38,36,35,34,
JOTR-BR,O3_PPB,1/12/2005 12:00:00 AM,34,38,-999,41,41,-999,40,-999,-999,-999,-999,44,45,46,46,46,44,42,42,41,42,42,43,42,
JOTR-BR,O3_PPB,1/13/2005 12:00:00 AM,43,44,-999,41,40,40,42,43,43,46,47,47,46,45,44,41,38,32,33,34,34,35,37,38,
JOTR-BR,O3_PPB,1/14/2005 12:00:00 AM,38,36,-999,36,35,38,38,38,39,41,43,44,44,45,45,43,43,42,42,39,38,36,37,37,
JOTR-BR,O3_PPB,1/15/2005 12:00:00 AM,38,36,-999,39,40,40,40,39,41,42,42,42,41,43,43,43,39,36,40,41,41,42,42,41,
JOTR-BR,O3_PPB,1/16/2005 12:00:00 AM,41,41,-999,39,39,38,38,37,36,40,40,39,40,40,40,40,39,34,35,35,36,35,34,36,
JOTR-BR,O3_PPB,1/17/2005 12:00:00 AM,36,37,-999,39,38,39,37,38,38,39,39,39,39,39,39,40,39,38,37,38,38,38,37,37,
JOTR-BR,O3_PPB,1/18/2005 12:00:00 AM,38,37,-999,37,37,36,36,35,37,39,39,40,41,41,42,42,41,40,40,39,39,39,41,41,
JOTR-BR,O3_PPB,1/19/2005 12:00:00 AM,41,41,-999,40,40,40,40,40,41,43,44,45,46,47,48,47,44,41,41,41,41,42,43,42,
JOTR-BR,O3_PPB,1/20/2005 12:00:00 AM,40,39,-999,39,39,38,38,38,40,42,43,45,44,47,49,43,40,37,41,40,38,40,40,39,
JOTR-BR,O3_PPB,1/21/2005 12:00:00 AM,40,41,-999,40,39,41,40,38,38,40,42,43,44,45,48,45,43,41,35,31,34,36,34,31,
JOTR-BR,O3_PPB,1/22/2005 12:00:00 AM,34,36,-999,36,36,36,35,35,36,37,37,38,39,42,43,42,37,33,33,33,33,30,33,35,
JOTR-BR,O3_PPB,1/23/2005 12:00:00 AM,38,37,-999,34,34,35,38,36,40,42,44,44,45,48,49,46,44,40,40,40,40,38,39,36,
JOTR-BR,O3_PPB,1/24/2005 12:00:00 AM,36,39,-999,41,40,40,39,39,40,42,44,43,42,42,38,38,38,36,38,37,42,42,42,42,
JOTR-BR,O3_PPB,1/25/2005 12:00:00 AM,41,41,-999,37,31,38,-999,41,41,40,40,40,41,41,41,40,36,37,36,37,37,37,38,38,
JOTR-BR,O3_PPB,1/26/2005 12:00:00 AM,39,40,-999,36,36,33,28,30,33,35,35,34,33,32,32,35,-999,35,36,35,34,37,39,38,
JOTR-BR,O3_PPB,1/27/2005 12:00:00 AM,39,40,-999,40,39,40,39,39,41,42,42,42,42,41,41,38,35,34,34,36,39,40,41,42,
JOTR-BR,O3_PPB,1/28/2005 12:00:00 AM,44,45,-999,44,44,48,46,43,41,41,42,41,43,40,36,35,33,34,34,36,42,39,38,36,
JOTR-BR,O3_PPB,1/29/2005 12:00:00 AM,33,35,-999,40,35,36,30,30,38,41,42,44,45,45,44,45,45,43,44,45,42,40,40,42,
JOTR-BR,O3_PPB,1/30/2005 12:00:00 AM,42,42,-999,41,41,41,41,41,41,42,42,43,43,43,43,43,42,40,38,38,38,38,39,40,
JOTR-BR,O3_PPB,1/31/2005 12:00:00 AM,42,41,-999,40,39,39,40,41,41,41,41,42,43,43,44,44,43,41,39,40,40,39,38,39,
JOTR-BR,O3_PPB,2/1/2005 12:00:00 AM,39,39,-999,39,39,38,38,37,39,42,43,44,45,-999,-999,46,45,42,39,45,41,42,40,39,
JOTR-BR,O3_PPB,2/2/2005 12:00:00 AM,39,39,-999,39,39,39,40,38,40,42,43,43,45,47,48,48,47,44,42,41,42,42,43,43,
JOTR-BR,O3_PPB,2/3/2005 12:00:00 AM,43,43,-999,41,41,41,40,40,39,42,44,46,47,48,49,49,49,47,47,47,46,45,46,44,
JOTR-BR,O3_PPB,2/4/2005 12:00:00 AM,43,43,-999,42,43,43,43,42,44,44,45,47,49,50,51,51,50,46,46,46,46,46,46,46,
JOTR-BR,O3_PPB,2/5/2005 12:00:00 AM,45,45,-999,45,45,46,46,46,46,48,47,49,48,47,47,48,46,42,42,43,42,42,42,44,
JOTR-BR,O3_PPB,2/6/2005 12:00:00 AM,40,43,-999,42,44,45,45,45,45,48,50,49,49,49,48,49,48,47,46,44,45,45,44,44,
JOTR-BR,O3_PPB,2/7/2005 12:00:00 AM,42,42,-999,44,44,44,43,42,43,44,43,44,44,44,44,43,40,38,37,35,35,33,29,28,
JOTR-BR,O3_PPB,2/8/2005 12:00:00 AM,28,28,-999,32,33,32,32,33,-999,-999,42,45,-999,-999,-999,50,52,50,44,44,41,43,42,44,
JOTR-BR,O3_PPB,2/9/2005 12:00:00 AM,45,45,-999,44,43,42,42,40,44,44,46,46,48,49,51,51,50,49,45,44,45,45,44,42,
JOTR-BR,O3_PPB,2/10/2005 12:00:00 AM,40,40,-999,43,42,43,42,42,42,47,47,46,47,47,46,47,46,44,41,37,35,34,34,29,
JOTR-BR,O3_PPB,2/11/2005 12:00:00 AM,29,35,-999,33,33,31,30,29,27,28,27,27,27,29,28,31,34,34,34,36,40,39,37,37,
JOTR-BR,O3_PPB,2/12/2005 12:00:00 AM,36,37,-999,38,41,42,42,44,43,42,42,41,43,41,42,43,42,40,39,40,40,37,29,29,
JOTR-BR,O3_PPB,2/13/2005 12:00:00 AM,30,34,-999,33,32,31,33,34,37,39,41,43,42,44,45,46,46,45,43,42,43,42,42,40,
JOTR-BR,O3_PPB,2/14/2005 12:00:00 AM,41,40,-999,36,38,39,38,38,40,42,42,42,43,44,44,41,40,40,41,41,40,37,34,30,
JOTR-BR,O3_PPB,2/15/2005 12:00:00 AM,36,34,-999,31,29,26,25,28,32,34,38,39,42,44,44,-999,42,38,34,30,28,28,32,32,
JOTR-BR,O3_PPB,2/16/2005 12:00:00 AM,35,34,-999,31,29,29,31,30,38,41,40,43,45,46,47,46,45,41,33,34,33,35,36,36,
JOTR-BR,O3_PPB,2/17/2005 12:00:00 AM,38,36,-999,34,32,34,34,34,40,42,42,43,43,43,42,41,41,35,37,35,36,33,35,33,
JOTR-BR,O3_PPB,2/18/2005 12:00:00 AM,34,34,-999,36,37,36,34,37,44,39,38,39,39,39,39,39,39,38,38,38,37,38,44,45,
JOTR-BR,O3_PPB,2/19/2005 12:00:00 AM,44,45,-999,39,37,38,37,39,38,37,37,38,38,39,38,40,42,43,43,43,43,43,43,43,
JOTR-BR,O3_PPB,2/20/2005 12:00:00 AM,43,43,-999,42,43,43,43,41,41,41,41,43,43,43,41,38,38,39,38,38,38,38,37,37,
JOTR-BR,O3_PPB,2/21/2005 12:00:00 AM,38,37,-999,35,36,39,40,41,41,40,38,37,38,40,40,40,40,39,37,38,40,41,41,41,
JOTR-BR,O3_PPB,2/22/2005 12:00:00 AM,41,41,-999,41,40,40,41,43,43,43,44,42,41,40,41,42,41,42,45,46,43,42,44,42,
JOTR-BR,O3_PPB,2/23/2005 12:00:00 AM,38,38,-999,36,34,42,44,45,46,46,46,45,45,46,46,45,43,42,41,40,41,41,37,36,
JOTR-BR,O3_PPB,2/24/2005 12:00:00 AM,37,38,-999,39,39,39,37,37,39,42,42,42,43,44,45,45,44,37,35,28,33,31,33,36,
JOTR-BR,O3_PPB,2/25/2005 12:00:00 AM,37,38,-999,35,33,33,35,35,40,42,45,48,50,51,50,46,45,42,39,37,35,37,36,43,
JOTR-BR,O3_PPB,2/26/2005 12:00:00 AM,36,35,-999,37,36,36,36,37,43,44,45,48,49,48,49,48,45,42,42,38,35,34,40,39,
JOTR-BR,O3_PPB,2/27/2005 12:00:00 AM,39,39,-999,39,37,36,37,39,49,49,52,55,58,61,62,62,64,60,53,53,54,55,52,49,
JOTR-BR,O3_PPB,2/28/2005 12:00:00 AM,50,48,-999,51,51,47,43,46,51,50,47,50,46,49,58,57,54,40,31,29,32,34,33,33,
JOTR-BR,O3_PPB,3/1/2005 12:00:00 AM,31,31,-999,30,30,31,34,36,41,42,44,45,47,-999,-999,50,51,44,33,33,36,33,36,38,
JOTR-BR,O3_PPB,3/2/2005 12:00:00 AM,36,37,-999,38,37,33,30,34,39,44,48,47,51,52,51,48,44,39,38,38,36,33,30,29,
JOTR-BR,O3_PPB,3/3/2005 12:00:00 AM,27,29,-999,29,28,30,33,34,41,43,44,44,47,49,48,49,47,44,44,46,45,40,37,38,
JOTR-BR,O3_PPB,3/4/2005 12:00:00 AM,38,34,-999,35,34,29,29,36,39,38,37,38,39,41,43,44,44,44,44,41,35,35,35,39,
JOTR-BR,O3_PPB,3/5/2005 12:00:00 AM,36,41,-999,40,40,39,38,40,42,43,43,45,46,45,44,45,45,41,40,40,40,41,35,31,
JOTR-BR,O3_PPB,3/6/2005 12:00:00 AM,36,39,-999,40,36,39,38,40,42,44,44,45,47,48,49,50,50,47,43,44,46,47,47,47,
JOTR-BR,O3_PPB,3/7/2005 12:00:00 AM,48,48,-999,47,47,45,44,44,46,48,48,49,52,53,53,53,54,49,45,44,44,46,49,50,
JOTR-BR,O3_PPB,3/8/2005 12:00:00 AM,52,52,-999,51,49,49,47,48,52,52,53,51,52,51,52,51,51,47,47,47,47,48,49,47,
JOTR-BR,O3_PPB,3/9/2005 12:00:00 AM,47,48,-999,48,48,48,47,48,49,50,52,53,54,54,55,54,55,52,49,48,45,46,50,50,
JOTR-BR,O3_PPB,3/10/2005 12:00:00 AM,50,48,-999,49,50,49,47,48,50,51,52,54,55,55,56,56,55,52,50,50,51,49,50,48,
JOTR-BR,O3_PPB,3/11/2005 12:00:00 AM,48,48,-999,46,46,44,44,44,47,48,52,54,55,56,57,58,58,54,47,50,50,52,55,54,
JOTR-BR,O3_PPB,3/12/2005 12:00:00 AM,54,56,-999,53,53,50,47,49,57,60,63,67,71,76,74,70,73,79,77,68,66,64,63,62,
JOTR-BR,O3_PPB,3/13/2005 12:00:00 AM,61,61,-999,58,56,53,51,51,55,54,59,60,60,61,60,60,58,58,57,51,52,49,50,50,
JOTR-BR,O3_PPB,3/14/2005 12:00:00 AM,49,46,-999,45,44,43,43,45,46,46,47,50,50,49,50,52,51,51,49,45,45,44,45,45,
JOTR-BR,O3_PPB,3/15/2005 12:00:00 AM,44,43,-999,43,46,48,47,47,48,49,50,-999,51,52,52,52,52,51,49,45,47,45,45,45,
JOTR-BR,O3_PPB,3/16/2005 12:00:00 AM,45,45,-999,46,43,43,46,50,53,53,54,54,55,56,57,56,56,54,52,52,50,47,46,51,
JOTR-BR,O3_PPB,3/17/2005 12:00:00 AM,51,52,-999,52,54,52,50,53,54,55,56,57,60,60,62,61,57,54,54,54,53,52,50,50,
JOTR-BR,O3_PPB,3/18/2005 12:00:00 AM,51,50,-999,53,51,51,52,51,55,58,59,60,60,60,60,59,57,56,53,51,54,55,55,54,
JOTR-BR,O3_PPB,3/19/2005 12:00:00 AM,53,50,-999,50,51,50,49,47,46,46,46,46,46,46,46,45,44,44,41,42,43,43,42,45,
JOTR-BR,O3_PPB,3/20/2005 12:00:00 AM,47,48,-999,47,46,44,44,48,49,49,49,50,52,53,54,54,55,54,52,49,45,43,42,41,
JOTR-BR,O3_PPB,3/21/2005 12:00:00 AM,40,40,-999,41,43,46,47,46,49,50,50,51,52,53,54,54,51,48,46,45,45,44,41,43,
JOTR-BR,O3_PPB,3/22/2005 12:00:00 AM,43,41,-999,42,40,42,43,44,47,49,48,48,49,52,49,48,48,47,44,42,39,38,36,44,
JOTR-BR,O3_PPB,3/23/2005 12:00:00 AM,49,49,-999,50,48,48,49,48,46,46,47,47,49,48,47,49,48,47,49,44,41,41,43,45,
JOTR-BR,O3_PPB,3/24/2005 12:00:00 AM,46,45,-999,43,45,46,47,50,51,51,51,51,50,50,50,48,48,45,43,44,41,38,37,39,
JOTR-BR,O3_PPB,3/25/2005 12:00:00 AM,37,34,-999,31,32,36,41,44,46,49,52,52,53,54,56,56,50,44,41,37,38,40,39,38,
JOTR-BR,O3_PPB,3/26/2005 12:00:00 AM,43,44,-999,44,43,43,44,48,49,50,51,51,53,53,54,54,53,49,46,46,46,45,46,44,
JOTR-BR,O3_PPB,3/27/2005 12:00:00 AM,44,44,-999,44,44,45,46,48,50,51,53,53,54,55,57,58,58,59,63,65,66,66,64,66,
JOTR-BR,O3_PPB,3/28/2005 12:00:00 AM,62,63,-999,46,52,47,47,49,53,52,52,56,57,54,56,54,52,49,46,47,51,57,57,55,
JOTR-BR,O3_PPB,3/29/2005 12:00:00 AM,52,55,-999,52,51,50,50,48,52,52,52,54,55,55,55,-999,50,47,47,47,49,51,51,49,
JOTR-BR,O3_PPB,3/30/2005 12:00:00 AM,49,45,-999,-999,50,55,47,50,53,54,55,55,56,57,57,58,60,58,54,53,52,51,51,51,
JOTR-BR,O3_PPB,3/31/2005 12:00:00 AM,51,50,-999,49,48,49,54,55,54,54,56,57,58,60,62,62,62,61,57,55,54,55,55,54,
JOTR-BR,O3_PPB,4/1/2005 12:00:00 AM,53,54,-999,53,52,51,53,54,54,55,58,59,59,59,59,61,60,59,59,60,59,58,59,59,
JOTR-BR,O3_PPB,4/2/2005 12:00:00 AM,59,59,-999,58,59,59,59,62,64,65,65,66,68,69,72,74,74,74,73,75,78,76,73,72,
JOTR-BR,O3_PPB,4/3/2005 12:00:00 AM,71,71,-999,70,69,69,67,67,67,67,68,67,65,61,58,62,65,60,57,52,48,47,51,55,
JOTR-BR,O3_PPB,4/4/2005 12:00:00 AM,52,52,-999,53,51,50,48,49,52,51,52,53,56,57,57,59,64,68,62,63,61,60,58,58,
JOTR-BR,O3_PPB,4/5/2005 12:00:00 AM,58,57,-999,56,55,56,56,57,56,57,58,59,60,60,61,62,-999,-999,57,57,58,58,57,57,
JOTR-BR,O3_PPB,4/6/2005 12:00:00 AM,57,57,-999,56,54,53,53,55,58,59,60,61,63,66,68,70,69,67,63,62,62,62,63,62,
JOTR-BR,O3_PPB,4/7/2005 12:00:00 AM,64,65,-999,62,63,64,66,66,67,70,71,71,69,71,70,71,61,56,53,52,42,45,52,54,
JOTR-BR,O3_PPB,4/8/2005 12:00:00 AM,53,52,-999,60,61,58,55,54,54,56,56,57,58,57,55,56,53,53,53,51,47,44,44,46,
JOTR-BR,O3_PPB,4/9/2005 12:00:00 AM,46,45,-999,47,47,49,52,53,54,56,58,58,56,56,56,55,53,53,52,48,46,48,49,47,
JOTR-BR,O3_PPB,4/10/2005 12:00:00 AM,46,45,-999,44,43,44,45,47,49,50,51,51,52,53,54,54,55,56,52,51,51,49,48,47,
JOTR-BR,O3_PPB,4/11/2005 12:00:00 AM,47,46,-999,48,49,49,50,53,53,54,55,57,60,64,66,69,72,72,69,65,63,62,60,58,
JOTR-BR,O3_PPB,4/12/2005 12:00:00 AM,58,60,-999,58,56,57,57,61,65,69,72,75,77,80,84,88,-999,79,73,70,69,71,70,70,
JOTR-BR,O3_PPB,4/13/2005 12:00:00 AM,66,68,-999,63,62,63,63,66,65,63,66,64,64,66,70,71,70,71,72,69,66,68,71,63,
JOTR-BR,O3_PPB,4/14/2005 12:00:00 AM,61,60,-999,62,62,66,64,63,63,62,62,63,64,65,66,67,66,66,62,60,59,58,58,58,
JOTR-BR,O3_PPB,4/15/2005 12:00:00 AM,57,57,-999,55,55,56,57,60,60,61,64,66,67,69,72,76,82,80,72,68,65,64,65,66,
JOTR-BR,O3_PPB,4/16/2005 12:00:00 AM,65,65,-999,65,66,65,65,67,68,72,73,74,76,78,78,78,79,77,82,86,87,92,90,84,
JOTR-BR,O3_PPB,4/17/2005 12:00:00 AM,84,83,-999,75,77,72,68,67,70,76,80,80,81,82,80,75,83,85,76,72,71,67,67,74,
JOTR-BR,O3_PPB,4/18/2005 12:00:00 AM,79,78,-999,69,65,65,61,59,55,53,55,61,63,63,65,67,68,65,61,55,50,46,43,41,
JOTR-BR,O3_PPB,4/19/2005 12:00:00 AM,40,40,-999,44,44,43,51,53,54,56,59,63,67,66,68,68,66,64,59,57,53,46,48,53,
JOTR-BR,O3_PPB,4/20/2005 12:00:00 AM,52,50,-999,52,51,51,51,52,52,54,57,59,62,64,66,67,66,63,58,54,55,54,55,56,
JOTR-BR,O3_PPB,4/21/2005 12:00:00 AM,58,60,-999,58,58,58,60,62,64,65,66,67,72,76,77,77,76,73,68,66,66,68,69,65,
JOTR-BR,O3_PPB,4/22/2005 12:00:00 AM,67,66,-999,65,65,65,65,69,71,69,70,69,71,69,69,66,60,54,51,55,47,43,39,38,
JOTR-BR,O3_PPB,4/23/2005 12:00:00 AM,40,41,-999,40,42,42,44,44,43,45,49,48,50,49,51,53,59,54,50,47,46,47,45,43,
JOTR-BR,O3_PPB,4/24/2005 12:00:00 AM,45,44,-999,38,36,37,38,39,40,41,42,42,45,48,48,50,47,45,44,44,43,44,44,45,
JOTR-BR,O3_PPB,4/25/2005 12:00:00 AM,42,42,-999,43,44,47,47,47,48,51,52,54,56,57,59,58,57,51,52,50,49,51,46,48,
JOTR-BR,O3_PPB,4/26/2005 12:00:00 AM,49,49,-999,50,50,50,54,56,55,57,58,60,64,68,66,64,65,63,59,56,59,55,55,55,
JOTR-BR,O3_PPB,4/27/2005 12:00:00 AM,56,57,-999,56,54,54,54,56,55,54,55,62,66,68,68,65,56,47,40,42,45,49,50,48,
JOTR-BR,O3_PPB,4/28/2005 12:00:00 AM,44,43,-999,47,46,39,37,36,38,44,45,51,54,55,55,55,53,52,52,47,44,43,43,42,
JOTR-BR,O3_PPB,4/29/2005 12:00:00 AM,39,40,-999,39,37,39,45,49,51,52,53,54,55,57,58,56,54,52,49,53,54,54,52,53,
JOTR-BR,O3_PPB,4/30/2005 12:00:00 AM,54,51,-999,53,52,53,53,55,56,57,60,64,69,71,71,71,77,73,66,66,66,65,64,61,
JOTR-BR,O3_PPB,5/1/2005 12:00:00 AM,59,57,-999,53,52,53,52,53,56,59,60,60,62,65,69,69,67,66,66,64,60,54,56,53,
JOTR-BR,O3_PPB,5/2/2005 12:00:00 AM,50,48,-999,49,50,50,50,51,54,57,60,61,61,62,63,65,66,64,60,61,59,56,55,54,
JOTR-BR,O3_PPB,5/3/2005 12:00:00 AM,56,57,-999,57,56,58,59,61,60,61,61,61,-999,-999,68,68,68,66,64,64,61,60,59,61,
JOTR-BR,O3_PPB,5/4/2005 12:00:00 AM,61,60,-999,59,62,60,62,67,68,68,70,72,73,75,72,74,75,73,72,66,67,69,68,67,
JOTR-BR,O3_PPB,5/5/2005 12:00:00 AM,69,71,-999,63,60,56,57,55,52,54,58,61,58,57,57,55,53,48,43,41,41,40,38,44,
JOTR-BR,O3_PPB,5/6/2005 12:00:00 AM,47,50,-999,50,50,50,49,50,51,53,53,53,55,55,57,55,55,52,49,50,45,40,38,41,
JOTR-BR,O3_PPB,5/7/2005 12:00:00 AM,42,42,-999,41,43,43,45,45,51,55,56,56,56,57,57,57,57,56,53,51,49,53,53,52,
JOTR-BR,O3_PPB,5/8/2005 12:00:00 AM,53,52,-999,49,52,53,55,55,60,60,62,64,66,66,65,67,62,60,54,49,47,44,41,41,
JOTR-BR,O3_PPB,5/9/2005 12:00:00 AM,39,37,-999,37,40,38,36,36,35,32,30,33,37,40,40,38,40,40,45,43,45,44,42,43,
JOTR-BR,O3_PPB,5/10/2005 12:00:00 AM,43,40,-999,43,44,45,49,50,54,55,58,59,60,62,61,59,59,56,51,51,47,43,41,46,
JOTR-BR,O3_PPB,5/11/2005 12:00:00 AM,48,48,-999,48,48,47,49,48,48,49,51,52,57,60,59,57,59,61,56,52,48,47,50,47,
JOTR-BR,O3_PPB,5/12/2005 12:00:00 AM,47,49,-999,48,47,48,53,55,57,57,58,59,59,65,68,70,71,72,72,65,67,67,65,62,
JOTR-BR,O3_PPB,5/13/2005 12:00:00 AM,62,58,-999,56,55,57,61,65,68,67,69,68,68,67,67,74,76,75,76,77,76,76,77,73,
JOTR-BR,O3_PPB,5/14/2005 12:00:00 AM,67,69,-999,76,75,75,80,82,82,81,80,81,81,82,83,88,101,109,111,107,103,92,84,82,
